m,n,depth,num_params,variables
1,1,49,1,3
1,2,1470,9,6
1,3,5008,25,9
1,4,10490,49,12
1,5,18477,81,15
1,6,27544,121,18
1,7,41042,169,21
2,1,277,1,5
2,2,8480,16,10
2,3,30765,49,15
2,4,65710,100,20
2,5,110514,169,25
2,6,170031,256,30
2,7,243254,361,35
3,1,432,1,7
3,2,24958,25,14
3,3,90876,81,21
3,4,198196,169,28
3,5,341512,289,35
3,6,529529,441,42
3,7,755848,625,49
4,1,734,1,9
4,2,56010,36,18
4,3,193128,121,27
4,4,411662,256,36
4,5,707623,441,45
4,6,1084744,676,54
4,7,1547041,961,63
5,1,1159,1,11
5,2,90277,49,22
5,3,326713,169,33
5,4,703627,361,44
5,5,1219693,625,55
5,6,1894941,961,66
5,7,2701295,1369,77
6,1,1622,1,13
6,2,137745,64,26
6,3,471044,225,39
6,4,993872,484,52
6,5,1725720,841,65
6,6,2640795,1296,78
6,7,3791405,1849,91
7,1,2438,1,15
7,2,197410,81,30
7,3,673780,289,45
7,4,1441317,625,60
7,5,2475218,1089,75
7,6,3798893,1681,90
7,7,5411361,2401,105
